Date,Open,High,Low,Close,Adj Close
6/20/2019,2539.820068,2589.449951,2539.820068,2580.699951,2580.699951
6/21/2019,2580.709961,2584.409912,2564.72998,2565.97998,2565.97998
6/24/2019,2565.969971,2575.449951,2557.01001,2566.320068,2566.320068
6/25/2019,2572.659912,2577.459961,2546.820068,2547.139893,2547.139893
6/26/2019,2547.159912,2571.419922,2547.159912,2560.370117,2560.370117
6/27/2019,2558.840088,2568.23999,2546.469971,2553.360107,2553.360107
6/28/2019,2553.379883,2577.100098,2551.969971,2574.610107,2574.610107
7/1/2019,2574.669922,2612.060059,2574.669922,2582.810059,2582.810059
7/2/2019,2582.800049,2591.469971,2558.580078,2575.449951,2575.449951
7/3/2019,2575.5,2578.379883,2558.399902,2569.800049,2569.800049
7/5/2019,2564.02002,2569.600098,2548.23999,2569.600098,2569.600098
7/8/2019,2563.97998,2579.090088,2563.850098,2572.469971,2572.469971
7/9/2019,2568.530029,2577.01001,2562.939941,2574.159912,2574.159912
7/10/2019,2574.189941,2600.879883,2574.120117,2588.350098,2588.350098
7/11/2019,2588.409912,2596.030029,2584.01001,2592.550049,2592.550049
7/12/2019,2592.540039,2610.100098,2591.830078,2601.639893,2601.639893
7/15/2019,2602.899902,2604.620117,2588.5,2593.030029,2593.030029
7/16/2019,2593.040039,2600.060059,2580.590088,2580.590088,2580.590088
7/17/2019,2579.870117,2581.080078,2556.100098,2556.620117,2556.620117
7/18/2019,2556.620117,2568.649902,2542.810059,2568.649902,2568.649902
7/19/2019,2566.169922,2570.800049,2547.330078,2566.629883,2566.629883
7/22/2019,2570.77002,2588.26001,2569.169922,2578.689941,2578.689941
7/23/2019,2580.25,2580.25,2550.149902,2562.959961,2562.959961
7/24/2019,2559.939941,2594.540039,2559.939941,2592.459961,2592.459961
7/25/2019,2592.459961,2599.899902,2541.340088,2547.290039,2547.290039
7/26/2019,2559.129883,2565.389893,2548.070068,2548.310059,2548.310059
7/29/2019,2540.27002,2548.590088,2528.719971,2543.110107,2543.110107
7/30/2019,2543.110107,2560.550049,2531.139893,2556.01001,2556.01001
7/31/2019,2562.169922,2571.48999,2531.280029,2539.639893,2539.639893
8/1/2019,2521.590088,2542.51001,2503.560059,2507.530029,2507.530029
8/2/2019,2515.969971,2524.129883,2451.840088,2463.949951,2463.949951
8/5/2019,2435.800049,2435.860107,2391.01001,2398.98999,2398.98999
8/6/2019,2405.780029,2422.899902,2396.300049,2420.040039,2420.040039
8/7/2019,2406,2422.169922,2392.100098,2416.73999,2416.73999
8/8/2019,2429.370117,2458.070068,2427.560059,2453.199951,2453.199951
8/9/2019,2453.139893,2456.699951,2436.590088,2442.429932,2442.429932
8/12/2019,2437.719971,2442.23999,2422,2426.48999,2426.48999
8/13/2019,2424.469971,2443.389893,2416.879883,2426.199951,2426.199951
8/14/2019,2408.47998,2409.27002,2381.23999,2382.659912,2382.659912
8/15/2019,2384.01001,2386.050049,2369.030029,2375.469971,2375.469971
8/16/2019,2383.620117,2403.219971,2379.590088,2400.47998,2400.47998
8/19/2019,2412.51001,2426.629883,2405.889893,2418.939941,2418.939941
8/20/2019,2415.379883,2423.629883,2407.139893,2410.050049,2410.050049
8/21/2019,2422.399902,2438.360107,2422.219971,2426.159912,2426.159912
8/22/2019,2426.209961,2431.52002,2404.52002,2404.52002,2404.52002
8/23/2019,2395.629883,2407.860107,2363.879883,2364.949951,2364.949951
8/26/2019,2377.5,2390.929932,2373.139893,2378.350098,2378.350098
8/27/2019,2387.850098,2393.629883,2369.360107,2374.73999,2374.73999
8/28/2019,2377.370117,2402.580078,2375.040039,2399.139893,2399.139893
