Date,Close,Open,High,Low,Vol.,Change %
4/4/2023,75.26,75.46,75.69,74.73,8.95M,-0.04%
4/3/2023,75.29,75.63,75.92,74.71,8.91M,-0.86%
3/31/2023,75.94,74.51,76.03,74.12,8.38M,2.08%
3/30/2023,74.39,74.93,75.18,73.9,8.43M,0.28%
3/29/2023,74.18,73.21,74.3,73,8.75M,2.04%
3/28/2023,72.7,73.1,73.59,71.86,9.25M,-0.82%
3/27/2023,73.3,74.82,75.17,73.18,11.91M,-0.79%
3/24/2023,73.88,71.92,73.9,71.53,9.18M,1.82%
3/23/2023,72.56,72.95,74.51,71.71,18.57M,-2.39%
3/22/2023,74.34,76.86,77.11,74.24,11.64M,-3.10%
3/21/2023,76.72,74.14,76.84,74.07,12.33M,4.79%
3/20/2023,73.21,73,74.14,72.02,16.89M,0.30%
3/17/2023,72.99,73.95,75.07,72.48,27.21M,-1.83%
3/16/2023,74.35,73.43,74.5,72.52,11.65M,0.60%
3/15/2023,73.91,72.11,73.94,71.77,10.55M,0.91%
3/14/2023,73.24,74.07,74.67,72.68,12.49M,0.87%
3/13/2023,72.61,72.62,73.97,71.09,14.05M,-1.12%
3/10/2023,73.43,75.94,75.94,73.1,13.12M,-3.29%
3/9/2023,75.93,76.96,79.27,75.72,17.40M,0.12%
3/8/2023,75.84,75.16,76.2,74.35,9.47M,1.24%
3/7/2023,74.91,76.54,77.38,74.79,9.68M,-2.44%
3/6/2023,76.78,76.94,77.76,76.36,9.61M,0.64%
3/3/2023,76.29,74.16,76.32,74.09,10.04M,2.96%
3/2/2023,74.1,72.62,74.37,72.6,7.74M,0.38%
3/1/2023,73.82,73.63,74.22,73.25,7.70M,0.30%
2/28/2023,73.6,73.53,74.34,73.13,8.61M,-0.23%
2/27/2023,73.77,74.32,74.57,73.46,8.58M,0.30%
2/24/2023,73.55,73.5,74.03,72.98,12.32M,-2.18%
2/23/2023,75.19,75.89,76.28,73.63,9.29M,-0.38%
2/22/2023,75.48,75.36,76.28,74.89,9.53M,0.32%
2/21/2023,75.24,73.71,75.57,73.68,14.54M,0.78%
2/17/2023,74.66,76.2,76.33,73.59,15.86M,-2.70%
2/16/2023,76.73,76.87,78.72,76.54,11.46M,-1.51%
2/15/2023,77.91,76.53,78.79,76.05,14.51M,0.84%
2/14/2023,77.26,79,79.37,76.3,18.80M,-2.76%
2/13/2023,79.45,80.65,80.71,78.44,15.90M,-1.67%
2/10/2023,80.8,79.37,82.85,78.6,37.52M,3.03%
2/9/2023,78.42,81.73,81.8,78.1,25.47M,-1.63%
2/8/2023,79.72,82.35,82.61,79.62,13.57M,-4.22%
2/7/2023,83.23,82.06,83.67,80.82,13.52M,1.09%
2/6/2023,82.33,83.33,83.8,82.14,14.18M,-3.73%
2/3/2023,85.52,85.39,87.84,85.2,14.79M,-1.66%
2/2/2023,86.96,86.72,88.63,84.65,16.91M,4.88%
2/1/2023,82.91,81.34,83.6,79.58,13.22M,1.74%
1/31/2023,81.49,79.7,82.47,79.61,15.73M,2.32%
1/30/2023,79.64,80.87,81.36,79.54,10.30M,-2.68%
1/27/2023,81.83,80.56,82.53,80.32,10.89M,1.26%
1/26/2023,80.81,80.08,80.9,78.56,10.57M,2.16%
1/25/2023,79.1,78.56,79.55,77.3,9.46M,-0.60%
1/24/2023,79.58,79.38,80.39,78.11,9.49M,0.10%
